# column 1: model
# column 2: total dust mass
t11_p1_q0.5_oa40_R30_Mcl0.97    5492.58 Msun
t11_p1_q0.5_oa50_R10_Mcl0.97    1036.36 Msun
t11_p1_q0.5_oa50_R20_Mcl0.97    3209.22 Msun
t11_p1_q0.5_oa50_R30_Mcl0.97    6369.4 Msun
t11_p1_q0.5_oa60_R10_Mcl0.97    1146.02 Msun
t11_p1_q0.5_oa60_R20_Mcl0.97    3548.86 Msun
t11_p1_q0.5_oa60_R30_Mcl0.97    7043.74 Msun
t11_p1_q0.5_oa70_R10_Mcl0.97    1223.4 Msun
t11_p1_q0.5_oa70_R20_Mcl0.97    3789.11 Msun
t11_p1_q0.5_oa70_R30_Mcl0.97    7520.29 Msun
t11_p1_q0.5_oa80_R10_Mcl0.97    1269.95 Msun
t11_p1_q0.5_oa80_R20_Mcl0.97    3933.41 Msun
t11_p1_q0.5_oa80_R30_Mcl0.97    7806.69 Msun
t11_p1_q0_oa10_R10_Mcl0.97    275.782 Msun
t11_p1_q0_oa10_R20_Mcl0.97    851.626 Msun
t11_p1_q0_oa10_R30_Mcl0.97    1689.84 Msun
t11_p1_q0_oa20_R10_Mcl0.97    551.314 Msun
t11_p1_q0_oa20_R20_Mcl0.97    1705.09 Msun
t11_p1_q0_oa20_R30_Mcl0.97    3383.63 Msun
t11_p1_q0_oa30_R10_Mcl0.97    810.28 Msun
t11_p1_q0_oa30_R20_Mcl0.97    2507.17 Msun
t11_p1_q0_oa30_R30_Mcl0.97    4975.65 Msun
t11_p1_q0_oa40_R10_Mcl0.97    1044.35 Msun
t11_p1_q0_oa40_R20_Mcl0.97    3232.93 Msun
t11_p1_q0_oa40_R30_Mcl0.97    6416.2 Msun
t11_p1_q0_oa50_R10_Mcl0.97    1246.52 Msun
t11_p1_q0_oa50_R20_Mcl0.97    3859.71 Msun
t11_p1_q0_oa50_R30_Mcl0.97    7660.49 Msun
t11_p1_q0_oa60_R10_Mcl0.97    1411.19 Msun
t11_p1_q0_oa60_R20_Mcl0.97    4369.67 Msun
t11_p1_q0_oa60_R30_Mcl0.97    8672.92 Msun
t11_p1_q0_oa70_R10_Mcl0.97    1532.71 Msun
t11_p1_q0_oa70_R20_Mcl0.97    4746.64 Msun
t11_p1_q0_oa70_R30_Mcl0.97    9421.39 Msun
t11_p1_q0_oa80_R10_Mcl0.97    1607.65 Msun
t11_p1_q0_oa80_R20_Mcl0.97    4979.41 Msun
t11_p1_q0_oa80_R30_Mcl0.97    9883.39 Msun
t11_p1_q1.5_oa10_R10_Mcl0.97    243.621 Msun
t11_p1_q1.5_oa10_R20_Mcl0.97    752.393 Msun
t11_p1_q1.5_oa10_R30_Mcl0.97    1492.84 Msun
t11_p1_q1.5_oa20_R10_Mcl0.97    432.614 Msun
t11_p1_q1.5_oa20_R20_Mcl0.97    1338.3 Msun
t11_p1_q1.5_oa20_R30_Mcl0.97    2655.73 Msun
t11_p1_q1.5_oa30_R10_Mcl0.97    571.627 Msun
t11_p1_q1.5_oa30_R20_Mcl0.97    1769.2 Msun
t11_p1_q1.5_oa30_R30_Mcl0.97    3511.09 Msun
t11_p1_q1.5_oa40_R10_Mcl0.97    671.865 Msun
t11_p1_q1.5_oa40_R20_Mcl0.97    2080.09 Msun
t11_p1_q1.5_oa40_R30_Mcl0.97    4128.09 Msun
t11_p1_q1.5_oa50_R10_Mcl0.97    742.566 Msun
t11_p1_q1.5_oa50_R20_Mcl0.97    2299.53 Msun
t11_p1_q1.5_oa50_R30_Mcl0.97    4563.71 Msun
t11_p1_q1.5_oa60_R10_Mcl0.97    791.122 Msun
t11_p1_q1.5_oa60_R20_Mcl0.97    2450.13 Msun
t11_p1_q1.5_oa60_R30_Mcl0.97    4862.8 Msun
t11_p1_q1.5_oa70_R10_Mcl0.97    822.619 Msun
t11_p1_q1.5_oa70_R20_Mcl0.97    2548.06 Msun
t11_p1_q1.5_oa70_R30_Mcl0.97    5056.7 Msun
